host_id,timestamp,kpi_1,kpi_3
2_6,1472953800,0.314668486,3.875
2_6,1472954100,0.317739551,3.875
2_6,1472954400,0.325904242,4.0625
2_6,1472954700,0.343471355,3.9375
2_6,1472955000,0.3420506,3.9375
2_6,1472955300,0.341051728,3.9375
2_6,1472955600,0.34675026,4
2_6,1472955900,0.335467973,3.875
2_6,1472956200,0.348589797,3.9375
2_6,1472956500,0.360523522,3.9375
2_6,1472956800,0.347798765,4
2_6,1472957100,0.356568363,3.875
2_6,1472957400,0.357312863,3.75
2_6,1472957700,0.360176089,3.875
2_6,1472958000,0.35321811,4
2_6,1472958300,0.360663116,4
2_6,1472958600,0.358268306,4
2_6,1472958900,0.353171578,4
2_6,1472959200,0.343679195,4.0625
2_6,1472959500,0.342308073,3.9375
2_6,1472959800,0.349867857,4
2_6,1472960100,0.34617017,3.9375
2_6,1472960400,0.360337397,3.875
2_6,1472960700,0.345680041,4.0625
2_6,1472961000,0.353522114,4
2_6,1472961300,0.348915516,3.9375
2_6,1472961600,0.357359395,4
2_6,1472961900,0.348543266,4.125
2_6,1472962200,0.359081052,4.125
2_6,1472962500,0.379973602,4
2_6,1472962800,0.389884767,4.0625
2_6,1472963100,0.403775908,4.0625
2_6,1472963400,0.39830693,4.1875
2_6,1472963700,0.389863052,4
2_6,1472964000,0.398843591,4
2_6,1472964300,0.396796215,4.0625
2_6,1472964600,0.394934963,4.125
2_6,1472964900,0.387651265,4.125
2_6,1472965200,0.386534514,4.1875
2_6,1472965500,0.382231921,3.9375
2_6,1472965800,0.373716694,4
2_6,1472966100,0.382905073,4.125
2_6,1472966400,0.369876312,4.1875
2_6,1472966700,0.375857134,4.125
2_6,1472967000,0.380277606,4.1875
2_6,1472967300,0.370645629,4.25
2_6,1472967600,0.360269151,4.1875
2_6,1472967900,0.36636475,4.1875
2_6,1472968200,0.362269997,4.1875
2_6,1472968500,0.363361931,4.125
2_6,1472968800,0.349356013,4
2_6,1472969100,0.340726009,4
2_6,1472969400,0.359291994,4.125
2_6,1472969700,0.360408745,4.133333206
2_6,1472970000,0.348518449,4.133333206
2_6,1472970300,0.354127021,4.3125
2_6,1472970600,0.35033317,4.1875
2_6,1472970900,0.343471355,4.0625
2_6,1472971200,0.351031139,4.125
2_6,1472971500,0.344842477,4.1875
2_6,1472971800,0.359803838,4.25
2_6,1472972100,0.354778459,4.1875
2_6,1472972400,0.354102204,4.25
2_6,1472972700,0.340747724,4.125
2_6,1472973000,0.351729108,4.0625
2_6,1472973300,0.337468819,4.3125
2_6,1472973600,0.329719808,4.3125
2_6,1472973900,0.338073726,4.1875
2_6,1472974200,0.340049754,4.1875
2_6,1472974500,0.340794255,4.3125
2_6,1472974800,0.34167835,4.1875
2_6,1472975100,0.328627874,4.1875
2_6,1472975400,0.328696119,4.125
2_6,1472975700,0.341771412,4.125
2_6,1472976000,0.331559345,4.25
2_6,1472976300,0.335374911,4.375
2_6,1472976600,0.331348403,4.125
2_6,1472976900,0.335561036,4.1875
2_6,1472977200,0.342143662,4.1875
2_6,1472977500,0.335443157,4.4375
2_6,1472977800,0.339469664,4.125
2_6,1472978100,0.338166788,4.125
2_6,1472978400,0.335933286,4.125
2_6,1472978700,0.331022684,4.25
2_6,1472979000,0.32127593,4.3125
2_6,1472979300,0.31790086,4.3125
2_6,1472979600,0.326580497,4.1875
2_6,1472979900,0.322811462,4.25
2_6,1472980200,0.32741806,4.125
2_6,1472980500,0.318319642,4.3125
2_6,1472980800,0.321741242,4.125
2_6,1472981100,0.323230244,4.3125
2_6,1472981400,0.310154951,4.25
2_6,1472981700,0.314317951,4.5625
2_6,1472982000,0.305874072,4.5
2_6,1472982300,0.310387608,4.3125
2_6,1472982600,0.306990823,4.375
2_6,1472982900,0.300032844,4.375
2_6,1472983200,0.302964316,4.125
2_6,1472983500,0.309850947,4.1875
2_6,1472983800,0.299452754,4.25
2_6,1472984100,0.296288626,4.25
2_6,1472984400,0.297777628,4.5625
2_6,1472984700,0.297638034,4.4375
2_6,1472985000,0.304081067,4.5
2_6,1472985300,0.295637188,4.4375
2_6,1472985600,0.298357718,4.75
